Rank,Title,Year,Director,Genre,Rating
1,The Shawshank Redemption,1994,Frank Darabont,Drama,9.3
2,The Godfather,1972,Francis Ford Coppola,Crime,9.2
3,The Dark Knight,2008,Christopher Nolan,Action,9.0
4,The Godfather Part II,1974,Francis Ford Coppola,Crime,9.0
5,12 Angry Men,1957,Sidney Lumet,Drama,9.0
6,Schindler's List,1993,Steven Spielberg,Biography,9.0
7,The Lord of the Rings: The Return of the King,2003,Peter Jackson,Adventure,9.0
8,Pulp Fiction,1994,Quentin Tarantino,Crime,8.9
9,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Adventure,8.8
10,The Good the Bad and the Ugly,1966,Sergio Leone,Western,8.8
11,Forrest Gump,1994,Robert Zemeckis,Drama,8.8
12,Fight Club,1999,David Fincher,Drama,8.8
13,Inception,2010,Christopher Nolan,Sci-Fi,8.8
14,The Lord of the Rings: The Two Towers,2002,Peter Jackson,Adventure,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Sci-Fi,8.7
16,The Matrix,1999,Lana Wachowski,Sci-Fi,8.7
17,Goodfellas,1990,Martin Scorsese,Crime,8.7
18,One Flew Over the Cuckoo's Nest,1975,Milos Forman,Drama,8.7
19,Seven,1995,David Fincher,Crime,8.6
20,Seven Samurai,1954,Akira Kurosawa,Action,8.6
21,Its a Wonderful Life,1946,Frank Capra,Drama,8.6
22,Silence of the Lambs,1991,Jonathan Demme,Thriller,8.6
23,City of God,2002,Fernando Meirelles,Crime,8.6
24,Saving Private Ryan,1998,Steven Spielberg,War,8.6
25,Life is Beautiful,1997,Roberto Benigni,Comedy,8.6
26,The Green Mile,1999,Frank Darabont,Crime,8.6
27,Interstellar,2014,Christopher Nolan,Sci-Fi,8.7
28,Star Wars: Episode IV - A New Hope,1977,George Lucas,Sci-Fi,8.6
29,Terminator 2: Judgment Day,1991,James Cameron,Action,8.6
30,Back to the Future,1985,Robert Zemeckis,Sci-Fi,8.5
31,Spirited Away,2001,Hayao Miyazaki,Animation,8.6
32,Psycho,1960,Alfred Hitchcock,Horror,8.5
33,The Pianist,2002,Roman Polanski,Biography,8.5
34,Parasite,2019,Bong Joon Ho,Thriller,8.5
35,Leon: The Professional,1994,Luc Besson,Action,8.5
36,The Lion King,1994,Roger Allers,Animation,8.5
37,Gladiator,2000,Ridley Scott,Action,8.5
38,American History X,1998,Tony Kaye,Drama,8.5
39,The Departed,2006,Martin Scorsese,Crime,8.5
40,The Usual Suspects,1995,Bryan Singer,Crime,8.5
41,The Prestige,2006,Christopher Nolan,Mystery,8.5
42,Casablanca,1942,Michael Curtiz,Romance,8.5
43,Whiplash,2014,Damien Chazelle,Music,8.5
44,The Intouchables,2011,Olivier Nakache,Biography,8.5
45,Grave of the Fireflies,1988,Isao Takahata,Animation,8.5
46,Alien,1979,Ridley Scott,Horror,8.5
47,Cinema Paradiso,1988,Giuseppe Tornatore,Drama,8.5
48,Apocalypse Now,1979,Francis Ford Coppola,Drama,8.4
49,Memento,2000,Christopher Nolan,Mystery,8.4
50,Raiders of the Lost Ark,1981,Steven Spielberg,Action,8.4
