Item,Quantity,Unit_Price_GBP,Total_GBP,Category
Chicken Breast (500g),2,5.50,11.00,Meat
Beef Mince (500g),2,5.25,5.25,Meat
Pork Sausages (pack of 6),1,3.00,3.00,Meat
Cheese (Mature Cheddar 400g),1,4.50,4.50,Dairy
Eggs (Large Free Range box of 6),1,2.00,2.00,Dairy
Milk (Semi-Skimmed 2 pints),1,1.50,1.50,Dairy
Yoghurt (Greek 500g),1,2.00,2.00,Dairy
Butter (Salted 250g),1,2.20,2.20,Dairy
Bread (Medium White Loaf),1,1.50,1.50,Bakery
Baguette,1,1.00,1.00,Bakery
Croissants (pack of 4),1,2.50,2.50,Bakery
Apples (pack of 6),1,2.00,2.00,Fruit & Vegetables
Bananas (bunch),1,1.50,1.50,Fruit & Vegetables
Onions (pack of 3),1,1.00,1.00,Fruit & Vegetables
Carrots (1kg),1,1.20,1.20,Fruit & Vegetables
Tomatoes (Cherry Punnet),1,1.50,1.50,Fruit & Vegetables
Potatoes (2.5kg),1,2.50,2.50,Fruit & Vegetables
Lettuce (Iceberg),1,1.80,1.80,Fruit & Vegetables
Cucumbers,1,0.80,0.80,Fruit & Vegetables
Pasta (Spaghetti 500g),1,1.00,1.00,Dry Goods
Rice (Basmati 1kg),1,2.50,2.50,Dry Goods
Flour (Plain 1.5kg),1,1.50,1.50,Dry Goods
Sugar (Granulated 1kg),1,1.20,1.20,Dry Goods
Biscuits (Digestive Packet),1,1.00,1.00,Snacks
Crisps (Multipack),1,2.50,2.50,Snacks
Coffee (Instant Jar),1,4.00,4.00,Drinks
Tea Bags (Box of 80),1,2.50,2.50,Drinks
Orange Juice (Carton 1L),1,2.00,2.00,Drinks
Coca-Cola (1.5L),1,2.00,2.00,Drinks
Canned Tomatoes (pack of 4),1,3.00,3.00,Tinned Goods
Canned Tuna (pack of 3),1,4.00,4.00,Tinned Goods
Ketchup (500g Bottle),1,2.00,2.00,Condiments
Mayo (450g Jar),1,2.50,2.50,Condiments
Jam (Strawberry 340g),1,1.80,1.80,Condiments
Olive Oil (500ml),1,5.00,5.00,Condiments
Frozen Peas (1kg),1,1.50,1.50,Frozen
Frozen Pizza (Margherita),1,2.00,2.00,Frozen
Ice Cream (Vanilla 1L),1,3.50,3.50,Frozen
Fish Fingers (pack of 12),1,3.00,3.00,Frozen
Soap (Hand Wash Pump),1,1.50,1.50,Toiletries
Shampoo (Bottle),1,3.00,3.00,Toiletries
Toothpaste (Tube),1,2.00,2.00,Toiletries
Toilet Rolls (pack of 9),1,5.00,5.00,Household
Kitchen Roll (Triple Pack),1,3.00,3.00,Household
Washing Up Liquid,1,1.50,1.50,Household
Laundry Powder,1,6.00,6.00,Household
Bin Bags (Roll of 50),1,2.00,2.00,Household
Prepared Salad Mix (Bag),1,1.50,1.50,Fruit & Vegetables
Sweetcorn (Tinned Can),1,0.80,0.80,Tinned Goods
Potato Wedges (Frozen),1,2.00,2.00,Frozen
