Date ,Home Team,Home Score,Away Team,Away Score,Competition
18-Nov-25,Scotland,4,Denmark,2,2026 World Cup Qualifier
15-Nov-25,Greece,3,Scotland,2,2026 World Cup Qualifier
12-Oct-25,Scotland,2,Belarus,1,2026 World Cup Qualifier
09-Oct-25,Scotland,3,Greece,1,2026 World Cup Qualifier
08-Sep-25,Belarus,0,Scotland,2,2026 World Cup Qualifier
05-Sep-25,Denmark,0,Scotland,0,2026 World Cup Qualifier
09-Jun-25,Liechtenstein,0,Scotland,4,Friendly
06-Jun-25,Scotland,1,Iceland,3,Friendly
23-Mar-25,Scotland,0,Greece,3,2024–25 Nations League Play-off
20-Mar-25,Greece,0,Scotland,1,2024–25 Nations League Play-off
18-Nov-24,Poland,1,Scotland,2,2024–25 Nations League
15-Nov-24,Scotland,1,Croatia,0,2024–25 Nations League
15-Oct-24,Scotland,0,Portugal,0,2024–25 Nations League
12-Oct-24,Croatia,2,Scotland,1,2024–25 Nations League
08-Sep-24,Portugal,2,Scotland,1,2024–25 Nations League
05-Sep-24,Scotland,2,Poland,3,2024–25 Nations League
23-Jun-24,Scotland,0,Hungary,1,UEFA Euro 2024
19-Jun-24,Scotland,1,Switzerland,1,UEFA Euro 2024
14-Jun-24,Germany,5,Scotland,1,UEFA Euro 2024
07-Jun-24,Scotland,2,Finland,2,Friendly
03-Jun-24,Gibraltar,0,Scotland,2,Friendly
26-Mar-24,Scotland,0,Northern Ireland,1,Friendly
22-Mar-24,Netherlands,4,Scotland,0,Friendly
19-Nov-23,Norway,3,Scotland,3,Euro 2024 Qualifier
16-Nov-23,Georgia,2,Scotland,2,Euro 2024 Qualifier
17-Oct-23,France,4,Scotland,1,Friendly
12-Oct-23,Spain,2,Scotland,0,Euro 2024 Qualifier
12-Sep-23,Scotland,1,England,3,Friendly
08-Sep-23,Cyprus,0,Scotland,3,Euro 2024 Qualifier
20-Jun-23,Scotland,2,Georgia,0,Euro 2024 Qualifier
17-Jun-23,Norway,1,Scotland,2,Euro 2024 Qualifier
28-Mar-23,Scotland,2,Spain,0,Euro 2024 Qualifier
25-Mar-23,Scotland,3,Cyprus,0,Euro 2024 Qualifier
