Title,Author,Price,CopiesSold
The Hobbit,J. R. R. Tolkien,8.99,5
1984,George Orwell,6.50,7
The Catcher in the Rye,J. D. Salinger,7.25,3
To Kill a Mockingbird,Harper Lee,6.99,9
Brave New World,Aldous Huxley,7.00,4
Fahrenheit 451,Ray Bradbury,6.75,6
Animal Farm,George Orwell,5.99,12
The Great Gatsby,F. Scott Fitzgerald,8.50,10
The Lord of the Rings,J. R. R. Tolkien,12.99,4
Moby Dick,Herman Melville,9.20,2
War and Peace,Leo Tolstoy,10.50,1
Crime and Punishment,Fyodor Dostoevsky,8.40,3
Pride and Prejudice,Jane Austen,6.49,13
Emma,Jane Austen,5.99,5
Jane Eyre,Charlotte Brontë,7.10,8
Wuthering Heights,Emily Brontë,6.90,7
Frankenstein,Mary Shelley,6.75,11
Dracula,Bram Stoker,7.25,6
The Picture of Dorian Gray,Oscar Wilde,6.85,5
The Odyssey,Homer,9.99,2
The Iliad,Homer,9.99,2
Don Quixote,Miguel de Cervantes,11.20,1
Les Misérables,Victor Hugo,10.99,3
The Count of Monte Cristo,Alexandre Dumas,10.30,5
The Three Musketeers,Alexandre Dumas,8.20,6
A Tale of Two Cities,Charles Dickens,7.80,9
Great Expectations,Charles Dickens,7.40,5
Oliver Twist,Charles Dickens,6.99,8
David Copperfield,Charles Dickens,7.60,3
The Grapes of Wrath,John Steinbeck,8.40,4
Of Mice and Men,John Steinbeck,6.60,10
East of Eden,John Steinbeck,9.10,2
The Old Man and the Sea,Ernest Hemingway,6.20,7
For Whom the Bell Tolls,Ernest Hemingway,7.80,3
A Farewell to Arms,Ernest Hemingway,7.40,4
Lolita,Vladimir Nabokov,8.30,3
The Brothers Karamazov,Fyodor Dostoevsky,10.20,2
The Trial,Franz Kafka,7.10,4
The Metamorphosis,Franz Kafka,5.80,11
Ulysses,James Joyce,11.00,1
Dubliners,James Joyce,6.40,6
The Sound and the Fury,William Faulkner,8.20,2
As I Lay Dying,William Faulkner,7.70,3
Invisible Man,Ralph Ellison,7.90,5
Beloved,Toni Morrison,7.60,4
Song of Solomon,Toni Morrison,7.80,3
The Alchemist,Paulo Coelho,6.90,15
The Road,Cormac McCarthy,7.50,6
Blood Meridian,Cormac McCarthy,8.20,2
A Clockwork Orange,Anthony Burgess,6.99,7
The Catch-22,Joseph Heller,7.70,6
Slaughterhouse-Five,Kurt Vonnegut,7.20,8
Cat’s Cradle,Kurt Vonnegut,6.80,5
The Stranger,Albert Camus,6.50,9
The Plague,Albert Camus,7.30,4
One Hundred Years of Solitude,Gabriel García Márquez,8.90,6
Love in the Time of Cholera,Gabriel García Márquez,8.50,4
The Kite Runner,Khaled Hosseini,7.40,14
A Thousand Splendid Suns,Khaled Hosseini,7.80,12
Life of Pi,Yann Martel,7.10,10
The Book Thief,Markus Zusak,7.40,9
The Girl with the Dragon Tattoo,Stieg Larsson,8.60,7
Gone Girl,Gillian Flynn,7.80,6
The Hunger Games,Suzanne Collins,6.99,20
Catching Fire,Suzanne Collins,6.99,18
Mockingjay,Suzanne Collins,7.20,17
Harry Potter and the Philosopher’s Stone,J. K. Rowling,8.99,25
Harry Potter and the Chamber of Secrets,J. K. Rowling,8.99,22
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,8.99,22
Harry Potter and the Goblet of Fire,J. K. Rowling,9.99,20
Harry Potter and the Order of the Phoenix,J. K. Rowling,9.99,18
Harry Potter and the Half-Blood Prince,J. K. Rowling,9.99,17
Harry Potter and the Deathly Hallows,J. K. Rowling,10.50,16
The Martian,Andy Weir,8.20,9
Dune,Frank Herbert,9.60,8
Foundation,Isaac Asimov,7.80,6
Neuromancer,William Gibson,7.40,4
Snow Crash,Neal Stephenson,7.60,5
Do Androids Dream of Electric Sheep?,Philip K. Dick,7.10,7
The Left Hand of Darkness,Ursula K. Le Guin,7.40,5
The Handmaid’s Tale,Margaret Atwood,7.60,12
Oryx and Crake,Margaret Atwood,7.40,7
The Name of the Wind,Patrick Rothfuss,9.20,6
The Wise Man’s Fear,Patrick Rothfuss,9.50,5
Mistborn,Brandon Sanderson,8.80,10
The Way of Kings,Brandon Sanderson,10.50,6
Words of Radiance,Brandon Sanderson,10.50,5
The Lies of Locke Lamora,Scott Lynch,8.50,6
Good Omens,Terry Pratchett & Neil Gaiman,7.60,9
American Gods,Neil Gaiman,8.20,6
Neverwhere,Neil Gaiman,7.40,5
The Colour of Magic,Terry Pratchett,6.99,11
Mort,Terry Pratchett,7.20,8
The Light Fantastic,Terry Pratchett,6.99,9
Small Gods,Terry Pratchett,7.40,6
Guards! Guards!,Terry Pratchett,7.30,7
