Assassin's Creed Shadows,PEGI 18,Ubisoft,November 15, 2024
Dragon Ball: Sparking! ZERO,PEGI 12,Bandai Namco Entertainment,October 11, 2024
DRAGON QUEST III HD-2D Remake,PEGI 12,Square Enix,November 14, 2024
Homeworld 3,PEGI 7,Gearbox Publishing,May 13, 2024
ANIMAL WELL,PEGI 3,Bigmode,May 9, 2024
Tales of Kenzera: ZAU,PEGI 12,Electronic Arts,April 23, 2024
Party Animals,PEGI 7,Source Technology,September 20, 2023
COCOON,PEGI 7,Annapurna Interactive,September 29, 2023
Granblue Fantasy: Relink,PEGI 12,Cygames,February 1, 2024
Remnant 2,PEGI 18,Gearbox Publishing,July 25, 2023
V Rising,PEGI 16,Stunlock Studios,May 8, 2024
Fae Farm,PEGI 3,Phoenix Labs,September 8, 2023
